bgp,satisfiable,found,type,size,ms,gen
N_5J,false,0,J,5,0,3456
N_4T,false,0,T,4,90,3456
N_4P_C,false,0,P,4,2,54
N_4J,false,0,J,4,0,288
N_3T,false,0,T,3,15,288
N_3P_R,false,0,P,3,7,36
N_1T,false,0,T,1,18,2
N_2J,false,0,J,2,1,2
N_2P_R,false,0,P,2,6,36
N_2T,false,0,T,2,3,24
N_3J,false,0,J,3,0,24
N_3P_C,false,0,P,3,4,18
S_5T,true,1,T,5,416,248832
S_5P_C,true,1,P,5,0,162
S_4T,true,1,T,4,6,20736
S_4P_C,true,1,P,4,1,54
S_4J,true,1,J,4,14,5184
S_3T,true,1,T,3,1,1728
S_3P_C,true,1,P,3,1,18
S_3J,true,1,J,3,2,432
S_2T,true,1,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,1,12
N_5T,false,0,T,5,543,41472
N_5P_C,false,0,P,5,9,162
N_5J,false,0,J,5,0,3456
N_4T,false,0,T,4,100,3456
N_4P_C,false,0,P,4,3,54
N_4J,false,0,J,4,0,288
N_3T,false,0,T,3,18,288
N_3P_R,false,0,P,3,13,36
N_1T,false,0,T,1,15,2
N_2J,false,0,J,2,0,2
N_2P_R,false,0,P,2,6,36
N_2T,false,0,T,2,4,24
N_3J,false,0,J,3,0,24
N_3P_C,false,0,P,3,4,18
S_5T,true,1,T,5,398,248832
S_5P_C,true,1,P,5,1,162
S_4T,true,1,T,4,5,20736
S_4P_C,true,1,P,4,0,54
S_4J,true,1,J,4,18,5184
S_3T,true,1,T,3,1,1728
S_3P_C,true,1,P,3,1,18
S_3J,true,1,J,3,1,432
S_2T,true,1,T,2,0,144
S_2P_R,true,1,P,2,0,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,0,12
N_5T,false,0,T,5,542,41472
N_5P_C,false,0,P,5,8,162
N_5J,false,0,J,5,0,3456
N_4T,false,0,T,4,97,3456
N_4P_C,false,0,P,4,3,54
N_4J,false,0,J,4,0,288
N_3T,false,0,T,3,16,288
N_3P_R,false,0,P,3,12,36
N_1T,false,0,T,1,19,2
N_2J,false,0,J,2,0,2
N_2P_R,false,0,P,2,7,36
N_2T,false,0,T,2,5,24
N_3J,false,0,J,3,0,24
N_3P_C,false,0,P,3,4,18
S_5T,true,1,T,5,419,248832
S_5P_C,true,1,P,5,0,162
S_4T,true,1,T,4,6,20736
S_4P_C,true,1,P,4,0,54
S_4J,true,1,J,4,12,5184
S_3T,true,1,T,3,1,1728
S_3P_C,true,1,P,3,1,18
S_3J,true,1,J,3,1,432
S_2T,true,1,T,2,1,144
S_2P_R,true,1,P,2,1,36
S_2J,true,1,J,2,0,144
S_1T,true,1,T,1,0,12
N_5T,false,0,T,5,646,41472
N_5P_C,false,0,P,5,7,162
N_5J,false,0,J,5,1,3456
N_4T,false,0,T,4,116,3456
N_4P_C,false,0,P,4,3,54
N_4J,false,0,J,4,0,288
N_3T,false,0,T,3,21,288
N_3P_R,false,0,P,3,6,36
